Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5,5,2013-11-06,24-235,LAC,@,ORL,L (-8),1,40:03,10,20,.500,0,0,,3,6,.500,0,13,13,2,2,1,1,2,23,18.0,+2
6,6,2013-11-07,24-236,LAC,@,MIA,L (-5),1,38:18,11,15,.733,1,1,1.000,4,5,.800,2,12,14,2,1,0,3,3,27,23.7,+4
7,7,2013-11-09,24-238,LAC,@,HOU,W (+13),1,34:01,9,16,.563,1,1,1.000,3,6,.500,1,6,7,2,1,0,3,5,22,13.1,+10
8,8,2013-11-11,24-240,LAC,,MIN,W (+2),1,39:18,11,22,.500,0,0,,3,4,.750,1,9,10,5,0,0,0,3,25,19.3,0
9,9,2013-11-13,24-242,LAC,,OKC,W (+8),1,37:59,8,14,.571,0,0,,6,9,.667,6,6,12,7,3,0,5,5,22,21.1,+8
10,10,2013-11-16,24-245,LAC,,BRK,W (+7),1,39:59,12,19,.632,0,0,,6,11,.545,3,9,12,2,0,1,3,5,30,21.4,+7
11,11,2013-11-18,24-247,LAC,,MEM,L (-4),1,33:18,11,21,.524,0,0,,1,3,.333,5,6,11,1,2,1,1,4,23,18.0,+8
12,12,2013-11-20,24-249,LAC,@,MIN,W (+4),1,38:19,10,19,.526,0,0,,0,0,,1,9,10,2,2,2,2,4,20,15.3,0
13,13,2013-11-21,24-250,LAC,@,OKC,L (-14),1,36:39,12,23,.522,0,0,,3,4,.750,2,8,10,5,2,0,3,1,27,21.2,-2
14,14,2013-11-23,24-252,LAC,,SAC,W (+1),1,40:14,3,10,.300,1,2,.500,9,13,.692,3,7,10,4,1,0,6,5,16,8.6,+4
15,15,2013-11-24,24-253,LAC,,CHI,W (+39),1,27:18,6,10,.600,0,0,,3,4,.750,2,10,12,2,1,3,2,4,15,15.3,+19
16,16,2013-11-27,24-256,LAC,,NYK,W (+13),1,35:44,6,13,.462,0,0,,3,6,.500,3,10,13,2,0,1,3,3,15,10.1,-5
17,17,2013-11-29,24-258,LAC,@,SAC,W (+6),1,38:57,7,15,.467,0,0,,7,10,.700,2,10,12,1,0,0,4,4,21,11.6,-1
18,18,2013-12-01,24-260,LAC,,IND,L (-5),1,36:32,6,13,.462,0,0,,4,5,.800,3,9,12,2,1,0,5,3,16,9.9,-21
19,19,2013-12-04,24-263,LAC,@,ATL,L (-10),1,36:34,10,17,.588,0,0,,4,4,1.000,1,6,7,4,0,1,0,2,24,21.3,-13
20,20,2013-12-05,24-264,LAC,@,MEM,W (+20),1,30:00,5,15,.333,0,0,,4,4,1.000,5,4,9,5,1,0,2,3,14,11.5,+13
21,21,2013-12-07,24-266,LAC,@,CLE,L (-6),1,37:26,3,12,.250,0,0,,4,6,.667,3,7,10,4,1,0,2,4,10,6.4,-7
22,22,2013-12-09,24-268,LAC,@,PHI,W (+11),1,39:33,9,14,.643,0,2,.000,8,14,.571,0,8,8,0,1,3,1,5,26,19.9,+11
23,23,2013-12-11,24-270,LAC,@,BOS,W (+8),1,41:32,7,16,.438,0,1,.000,4,4,1.000,1,6,7,4,1,0,4,3,18,10.7,+9
24,24,2013-12-12,24-271,LAC,@,BRK,L (-9),1,29:43,2,8,.250,0,0,,8,13,.615,3,8,11,3,1,0,3,2,12,9.0,-11
25,25,2013-12-14,24-273,LAC,@,WAS,W (+16),1,39:01,6,13,.462,0,1,.000,4,4,1.000,1,8,9,5,2,1,3,2,16,14.8,+22
26,26,2013-12-16,24-275,LAC,,SAS,W (+23),1,33:57,8,14,.571,0,0,,11,15,.733,2,7,9,2,0,0,3,3,27,19.5,+9
27,27,2013-12-18,24-277,LAC,,NOP,W (+13),1,31:54,8,16,.500,2,3,.667,3,4,.750,3,7,10,5,0,1,3,6,21,15.6,+10
28,28,2013-12-21,24-280,LAC,,DEN,W (+21),1,35:43,8,17,.471,0,1,.000,8,10,.800,5,11,16,4,1,1,3,2,24,22.0,+19
29,29,2013-12-22,24-281,LAC,,MIN,W (+4),1,40:48,11,20,.550,0,0,,10,11,.909,3,7,10,2,4,0,2,6,32,27.2,0
30,30,2013-12-25,24-284,LAC,@,GSW,L (-2),1,32:30,8,16,.500,0,1,.000,4,6,.667,3,11,14,5,0,0,4,3,20,14.9,+1
31,31,2013-12-26,24-285,LAC,@,POR,L (-4),1,41:15,15,27,.556,1,1,1.000,4,5,.800,3,8,11,1,1,2,2,2,35,26.5,+6
32,32,2013-12-28,24-287,LAC,,UTA,W (+8),1,38:09,13,20,.650,0,0,,14,17,.824,1,9,10,3,1,1,8,2,40,28.4,+10
33,33,2013-12-30,24-289,LAC,,PHO,L (-19),1,28:28,5,15,.333,0,0,,5,7,.714,2,3,5,1,1,0,4,4,15,4.1,-26
34,34,2014-01-01,24-291,LAC,,CHA,W (+27),1,38:07,14,20,.700,1,2,.500,2,4,.500,2,10,12,2,0,0,4,4,31,22.0,+22
35,35,2014-01-03,24-293,LAC,@,DAL,W (+7),1,41:08,7,18,.389,0,1,.000,11,13,.846,5,10,15,5,0,1,0,3,25,23.9,+17
36,36,2014-01-04,24-294,LAC,@,SAS,L (-24),1,35:03,7,15,.467,0,0,,5,7,.714,2,5,7,2,0,0,1,2,19,13.0,-19
37,37,2014-01-06,24-296,LAC,,ORL,W (+20),1,23:47,5,12,.417,0,1,.000,6,8,.750,2,6,8,6,3,0,2,4,16,15.6,+15
38,38,2014-01-08,24-298,LAC,,BOS,W (+6),1,41:23,9,14,.643,0,0,,11,17,.647,1,5,6,8,2,0,2,4,29,26.6,+9
39,39,2014-01-10,24-300,LAC,,LAL,W (+36),1,29:48,12,15,.800,0,0,,9,11,.818,2,10,12,4,4,2,4,2,33,34.3,+45
40,40,2014-01-15,24-305,LAC,,DAL,W (+2),1,40:04,5,11,.455,0,1,.000,13,16,.813,1,6,7,8,1,0,5,3,23,19.0,-2
41,41,2014-01-17,24-307,LAC,@,NYK,W (+14),1,39:41,12,20,.600,1,3,.333,7,9,.778,0,7,7,2,3,1,4,5,32,23.2,+9
42,42,2014-01-18,24-308,LAC,@,IND,L (-14),1,34:36,6,18,.333,0,1,.000,7,8,.875,3,5,8,4,1,1,1,4,19,13.9,-13
43,43,2014-01-20,24-310,LAC,@,DET,W (+9),1,32:49,9,16,.563,0,2,.000,7,12,.583,3,2,5,5,1,0,4,3,25,17.4,+1
44,44,2014-01-22,24-312,LAC,@,CHA,L (-4),1,37:26,11,20,.550,0,0,,5,6,.833,1,6,7,6,1,0,3,3,27,20.5,+7
45,45,2014-01-24,24-314,LAC,@,CHI,W (+17),1,37:06,11,18,.611,0,0,,4,7,.571,4,9,13,7,0,0,0,2,26,26.2,+15
46,46,2014-01-25,24-315,LAC,@,TOR,W (+8),1,39:24,10,18,.556,0,0,,10,13,.769,2,3,5,2,1,0,0,5,30,22.9,+5
